file,left,top,right,bottom,width,height
a-pressed.png,610,210,661,261,51,51
b-pressed.png,565,255,616,306,51,51
base.png,72,85,679,551,607,466
disconnected.png,0,0,750,630,750,630
dpad-down-pressed.png,135,385,186,436,51,51
dpad-left-pressed.png,90,340,141,391,51,51
dpad-right-pressed.png,180,340,231,391,51,51
dpad-up-pressed.png,135,295,186,346,51,51
guide-pressed.png,529,439,582,492,53,53
lb-pressed.png,72,55,201,106,129,51
left-stick-pressed.png,105,150,216,261,111,111
left-stick.png,105,150,216,261,111,111
lt-pressed.png,92,20,181,96,89,76
p1.png,238,310,253,391,15,81
p2.png,238,310,253,391,15,81
p3.png,238,310,253,391,15,81
p4.png,238,310,253,391,15,81
rb-pressed.png,550,55,679,106,129,51
right-stick-pressed.png,535,335,646,446,111,111
right-stick.png,535,335,646,446,111,111
rt-pressed.png,570,20,659,96,89,76
select-pressed.png,118,115,173,151,55,36
start-pressed.png,578,115,633,170,55,55
x-pressed.png,565,165,616,216,51,51
y-pressed.png,520,210,571,261,51,51
